Species,Tetratrigona_angustula _1,Tetratrigona_angustula _2,Tetratrigona_angustula _3,Tetratrigona_angustula _4,Tetratrigona_angustula _5,Tetratrigona_angustula _6,Tetratrigona_angustula _7,Nannotrigona_testaceicornis _1,Nannotrigona_testaceicornis _2,Nannotrigona_testaceicornis _3,Paratrigona_opaca _1,Paratrigona_opaca _2,Paratrigona_opaca _3
Amaranthaceae,0,0,0,0,0,0,0,0,0,1,0,0,0
Apiaceae,4,1,0,0,47,99,4,4,17,0,3,0,3
Ilex_sp,0,0,0,0,4,4,0,0,0,0,0,0,0
Acmella_sp,0,0,0,0,0,0,0,0,0,0,0,1,0
Ageratum_sp,0,0,1,0,0,0,0,0,0,0,0,0,0
Asteraceae,16,0,3,1,14,4,3,0,0,0,0,0,0
Emilia_fosbergii,8,11,0,0,0,0,0,0,0,0,0,0,0
Galinsoga_parvifolia_,6,0,0,1,7,0,1,0,0,0,0,0,0
Senecio_sp,0,0,0,0,0,0,0,0,2,0,0,0,0
Smallanthus_connatus_,10,0,1,0,4,4,2,0,0,1,133,60,6
Tagetes_erecta,0,0,1,0,1,0,0,0,8,0,1,0,15
Taraxacum_sp,0,0,0,0,6,0,0,0,0,0,0,0,0
Impatiens_walleriana,0,0,0,0,0,0,0,0,3,0,0,0,0
Campanulaceae,0,0,0,0,0,0,0,2,0,0,0,0,0
Lozanella_sp1,0,0,1,0,2,0,1,0,0,0,0,0,0
Lozanella_sp2,0,0,0,0,0,0,0,0,0,0,2,29,2
Hedyosmum_Citrus,31,2,9,8,9,8,5,10,7,2,37,0,23
Costus_sp,0,0,0,0,0,0,0,0,0,0,1,1,1
Gaulteria_glomerata,1,0,0,0,0,0,0,0,0,0,0,0,0
Clitoria_sp,0,0,0,3,0,0,0,0,0,0,0,0,0
Senna_obtusifolia,16,7,0,1,7,22,0,4,6,0,2,1,1
Arachis_sp,0,0,0,0,0,0,0,0,0,0,2,0,4
Rhynchosia_minima,87,10,44,25,57,35,59,94,13,0,1,5,15
Ribes_bolivianum,0,1,0,0,0,0,0,0,0,0,0,0,0
Plectranthus_scutellarioides,0,0,0,0,0,0,0,0,0,0,0,1,0
Ligaria_sp,0,0,0,2,0,0,0,0,0,0,0,0,0
Banisteriopsis_gesneriaceae,0,0,0,0,0,0,0,15,12,0,1,0,0
Leandra_sp,269,163,123,181,130,95,170,128,43,1,12,3,102
Miconia_sp,0,103,69,55,13,16,10,2,4,0,0,0,0
Tibouchina_Bellucia,0,4,25,14,10,14,10,1,9,0,0,0,0
Myrsine_sp,0,2,11,10,4,3,23,2,0,0,0,0,0
Eucalipto_sp,0,0,0,0,0,0,0,0,0,2,2,0,1
Myrcia_multiflora,0,0,0,0,0,0,0,1,10,0,2,0,1
Myrcia_selloi,2,0,0,2,0,0,1,0,0,0,0,0,0
Myrcianthes_sp,0,0,0,0,0,0,0,4,125,2,13,0,10
Myrtaceae_1,0,0,0,0,0,0,0,0,0,6,17,2,116
Myrtaceae_2,0,0,0,0,0,0,0,0,6,1,17,0,0
Oxalis_triporado,0,0,0,0,0,0,0,0,0,0,33,238,27
Bocconia_sp,0,0,0,2,1,0,0,0,6,0,4,0,0
Piper_sp,25,11,24,5,16,62,16,12,64,0,11,6,2
Poaceae,0,0,2,1,0,0,0,1,0,0,1,0,0
Eriobotrya_japonica_,0,0,0,0,0,0,0,0,0,0,5,0,0
Penna_sp,0,0,0,0,0,0,0,0,0,0,2,7,0
Palicourea_sp,0,0,0,0,0,0,0,23,0,0,0,0,0
Galianthe_subyungensis,0,0,1,0,4,0,0,0,0,0,0,0,0
Citrus_sp,0,0,0,0,4,0,0,23,0,0,16,0,0
Solanaceae,25,0,11,2,2,0,10,12,5,1,2,0,4
Solanaceae ,0,0,0,0,0,0,0,0,3,0,2,0,9
Lantana_camara,0,0,0,0,0,0,0,0,0,0,3,0,0